ComplaintID;CustomerID;ProductID;ComplaintDate;ComplaintType;SolutionType;FeedbackType
81965;66741;;20/11/2008;1;3;
49603;66910;5;04/02/2008;1;2;2
145271;66910;5;15/01/2010;1;2;3
147407;66910;5;01/02/2010;1;2;3
107392;67030;8;28/03/2007;1;;
195041;67030;8;24/12/2010;1;1;
138554;67030;8;28/11/2009;1;3;4
47938;67030;8;17/01/2008;1;3;5
130487;67030;8;02/10/2009;1;2;3
142738;67030;8;28/12/2009;1;2;2
185073;67278;8;08/11/2010;1;2;6
168480;67278;8;19/07/2010;1;2;3
93389;67296;8;12/02/2009;1;1;
93388;67296;8;07/02/2009;1;1;
78490;67720;8;24/03/2006;1;;
121083;67720;8;29/08/2007;1;;
106950;67962;8;02/03/2009;9;1;
165166;67962;8;24/06/2010;1;2;
197294;67962;8;31/12/2010;1;1;6
132354;67962;8;15/10/2009;1;2;2
147592;67962;8;02/02/2010;1;2;3
145977;67962;8;20/01/2010;1;2;5
202411;67962;8;02/02/2011;1;2;
201673;67962;8;28/01/2011;1;2;6
144037;67962;8;07/01/2010;1;2;3
144076;67962;8;07/01/2010;1;1;
169920;69031;8;29/07/2010;1;2;3
159686;71100;8;07/05/2010;1;2;3
128412;71100;8;12/09/2009;7;1;6
106395;71104;8;02/03/2009;9;1;
188104;71104;8;27/11/2010;1;1;
171704;71104;8;10/08/2010;1;2;
136251;71104;8;17/11/2009;1;2;
123978;71104;8;13/08/2009;8;2;3
202307;71104;8;29/01/2011;1;3;6
77509;72328;8;08/03/2006;1;;
83176;72328;8;02/06/2006;1;;
89309;72328;8;21/08/2006;1;;
94602;72328;8;26/10/2006;1;;
94930;72328;8;31/10/2006;1;;
95456;72328;8;08/11/2006;1;;
97058;72328;8;30/11/2006;9;;
99179;72328;8;02/01/2007;1;;
106840;72328;8;21/03/2007;1;;
113421;72328;8;07/06/2007;1;;
118176;72328;8;30/07/2007;1;;
109342;72328;8;31/03/2009;1;2;4
109343;72328;8;31/03/2009;9;1;
40375;72328;8;17/11/2007;1;1;
39712;72328;8;05/11/2007;1;2;
43767;72328;8;17/12/2007;1;1;3
43768;72328;8;17/09/2007;9;1;
43771;72328;8;17/12/2007;9;1;
43773;72328;8;17/12/2007;9;1;
43770;72328;8;17/12/2007;9;1;
43772;72328;8;17/12/2007;9;1;
131386;72328;8;03/10/2009;1;1;3
131385;72328;8;05/10/2009;1;1;3
131384;72328;8;08/10/2009;1;1;3
78943;72328;8;25/10/2008;1;1;5
187267;73887;8;23/11/2010;4;2;6
89359;74250;8;22/08/2006;1;;
121712;74250;8;25/07/2009;7;3;3
124767;75988;8;20/08/2009;1;2;3
124769;75988;8;18/08/2009;1;1;3
124768;75988;8;19/08/2009;1;1;3
62568;76089;8;08/10/2005;1;;
117109;76089;8;22/06/2009;1;1;3
118926;76089;8;07/07/2009;1;1;
122341;76089;8;30/07/2009;1;1;
122342;76089;8;29/07/2009;1;1;
171201;76481;8;06/08/2010;1;2;3
170897;76481;8;05/08/2010;1;2;3
42759;76949;8;01/12/2007;7;1;
79909;76969;8;03/11/2008;1;2;3
84848;76969;8;15/12/2008;1;2;3
123341;76969;8;06/08/2009;1;2;
121286;76969;8;18/07/2009;1;2;5
75004;77132;8;02/02/2006;1;;
114688;77132;8;02/06/2007;2;;
121263;77132;8;29/08/2007;1;;
82216;77132;8;24/11/2008;1;2;2
184118;77132;8;02/11/2010;1;2;6
137106;77132;8;21/11/2009;1;2;3
114657;78062;8;02/06/2007;2;;
111993;78062;8;18/04/2009;3;1;3
111992;78062;8;28/04/2009;1;1;5
136999;78062;8;21/11/2009;1;1;6
39177;78062;8;29/09/2007;1;3;
109404;78610;8;14/04/2007;1;;
158647;78610;8;30/04/2010;1;2;4
96344;78719;8;17/11/2006;1;;
60928;79296;8;26/08/2005;2;;
87121;79296;8;17/07/2006;1;;
81959;79296;8;20/11/2008;1;1;4
43250;79722;8;11/12/2007;1;3;3
121449;79722;8;23/07/2009;1;2;3
54572;80187;8;08/03/2008;1;1;4
131680;80408;8;10/10/2009;1;2;3
122841;80869;8;04/08/2009;1;1;6
195774;81576;8;24/12/2010;1;1;
104904;82955;8;02/03/2009;9;1;
78566;83231;8;27/03/2006;1;;
78615;83231;8;27/03/2006;9;;
87559;83231;8;25/07/2006;1;;
87580;83231;8;25/07/2006;9;;
105017;83231;8;02/03/2009;9;1;
135633;83235;8;12/11/2009;7;2;3
96225;83235;8;02/03/2009;1;1;4
104968;83269;8;02/03/2009;9;1;
150047;83269;8;18/02/2010;1;2;3
95460;83274;8;02/03/2009;1;1;4
183054;83675;8;22/10/2010;1;2;3
103226;83675;8;02/03/2009;9;1;
179068;83675;8;27/09/2010;1;1;4
179067;83675;8;25/09/2010;1;1;4
104621;83829;8;02/03/2009;9;1;
80126;86158;8;20/04/2006;1;;
187950;86158;8;29/11/2010;1;2;6
187682;86158;8;25/11/2010;1;2;6
187683;86158;8;24/11/2010;1;1;6
39853;86158;8;08/11/2007;1;2;3
127685;86158;8;10/09/2009;7;1;3
127686;86158;8;11/09/2009;7;1;3
127418;86158;8;09/09/2009;7;1;
128275;86158;8;12/09/2009;7;1;
174871;86158;8;31/08/2010;1;2;3
124991;86158;8;21/08/2009;1;1;3
93289;86254;8;07/02/2009;1;2;3
58543;86995;8;30/04/2008;1;2;3
129457;86995;8;24/09/2009;1;2;3
46632;87584;8;01/12/2007;1;1;
46794;87992;8;01/12/2007;1;1;
58470;88253;8;24/05/2005;1;2;
87257;89348;8;03/01/2009;1;1;2
87258;89348;8;05/01/2009;1;1;2
201973;89348;8;31/01/2011;1;1;6
132997;89370;8;16/10/2009;1;2;5
91809;89370;8;02/02/2009;1;2;5
148288;89370;8;05/02/2010;1;2;2
168379;89647;8;10/07/2010;1;1;5
169385;90947;8;24/07/2010;1;1;3
113356;90987;8;13/05/2009;1;2;3
137918;90987;8;27/11/2009;1;2;3
201346;90987;8;26/01/2011;1;2;6
156749;91087;8;10/04/2010;1;3;3
187438;91087;8;24/11/2010;1;2;
85551;91087;8;20/12/2008;1;1;3
55305;91165;8;29/03/2008;1;3;3
92333;91191;8;23/09/2006;1;;
190684;91261;8;14/12/2010;1;2;6
119161;91272;8;09/07/2009;1;2;3
119024;91272;8;08/07/2009;1;2;3
168551;92913;8;17/07/2010;7;1;3
158860;93017;8;30/04/2010;1;1;
114829;93173;8;28/05/2009;1;2;5
164405;94699;8;17/06/2010;1;2;3
169029;94699;8;22/07/2010;1;2;3
94165;94699;8;20/02/2009;1;2;3
201930;95660;8;29/01/2011;1;2;
117661;96490;8;26/06/2009;1;1;
127103;96557;8;29/08/2009;7;2;5
160578;96717;8;17/05/2010;1;2;3
160803;96717;8;17/05/2010;1;2;
178114;98118;8;20/09/2010;1;2;3
167494;98470;8;12/07/2010;1;2;3
166930;98824;8;07/07/2010;1;2;3
136299;98824;8;17/11/2009;1;2;
126530;98824;8;02/09/2009;1;2;3
77701;98824;8;16/10/2008;3;3;3
77700;98824;8;15/10/2008;3;3;
77699;98824;8;14/10/2008;3;3;3
77697;98824;8;17/10/2008;3;2;3
77698;98824;8;13/10/2008;3;3;3
88225;99483;8;06/01/2009;1;2;2
188061;100139;8;29/11/2010;1;2;6
137349;100246;8;21/11/2009;7;3;
158979;100579;8;30/04/2010;1;1;
106261;101454;8;02/03/2009;9;1;
106203;101481;8;02/03/2009;9;1;
188136;101481;8;30/11/2010;1;2;
105984;101693;8;02/03/2009;9;1;
74396;104207;8;20/09/2008;1;1;6
179099;104407;8;27/09/2010;1;1;6
52863;104407;8;07/03/2008;1;1;
39680;104407;8;05/11/2007;1;1;4
128486;104407;8;16/09/2009;1;1;
176502;104407;8;08/09/2010;1;1;3
73019;104407;8;11/09/2008;1;1;
72979;104407;8;11/09/2008;1;2;3
61844;105447;8;31/05/2008;1;1;3
63363;107253;8;02/11/2005;1;;
153505;108424;8;16/03/2010;1;2;3
67283;108898;8;12/07/2008;7;3;
41389;109965;8;27/11/2007;1;2;3
162564;109965;8;03/06/2010;1;2;
194166;110062;8;24/12/2010;1;2;2
152970;110062;8;11/03/2010;1;2;3
153309;110062;8;15/03/2010;1;2;3
76179;110455;8;16/02/2006;1;;
107120;110694;8;02/03/2009;9;1;
106490;110749;8;02/03/2009;9;1;
107237;110977;8;02/03/2009;9;1;
187491;110977;8;24/11/2010;1;1;
189880;110977;8;08/12/2010;1;2;6
185493;113810;8;10/11/2010;9;2;
103973;114210;8;02/03/2009;9;1;
166587;114210;8;03/07/2010;1;1;
70802;114210;8;21/08/2008;1;2;3
93957;115310;8;16/02/2009;1;1;3
61381;115674;8;07/09/2005;1;;
84931;115674;8;21/06/2006;1;;
87259;115674;8;19/07/2006;1;;
86384;115674;8;29/06/2006;1;;
92908;115674;8;03/10/2006;1;;
118289;115674;8;31/07/2007;1;;
37954;115674;8;26/09/2007;1;2;
120903;115674;8;17/07/2009;1;2;3
150485;115674;8;23/02/2010;1;2;3
175052;115674;8;28/08/2010;1;1;2
84193;115674;8;05/12/2008;1;2;3
62103;115674;8;04/06/2008;1;2;3
106850;115697;8;02/03/2009;9;1;
139485;117560;8;05/12/2009;1;3;3
84836;118150;8;21/06/2006;9;;
158387;118416;8;24/04/2010;1;3;3
183881;118416;8;16/10/2010;1;3;
152087;118416;8;04/03/2010;1;2;5
78160;118522;8;18/03/2006;1;;
121145;118522;8;29/08/2007;1;;
110222;118522;8;04/04/2009;1;3;5
192093;118522;8;20/12/2010;1;2;2
193223;118522;8;21/12/2010;1;1;2
47839;118522;8;22/12/2007;1;1;
82308;118522;8;24/11/2008;1;2;2
57573;119012;8;19/04/2008;1;3;6
84829;119012;8;06/12/2008;2;3;3
118372;119089;8;03/07/2009;1;2;3
130524;119089;8;02/10/2009;1;2;6
185033;119308;8;06/11/2010;1;3;
54634;119308;8;08/03/2008;1;1;4
111770;119880;8;21/05/2007;9;;
189577;119880;8;04/12/2010;1;1;6
138936;119880;8;04/12/2009;1;1;3
138938;119880;8;02/11/2009;1;1;
89030;119880;8;09/01/2009;1;2;2
102710;120121;8;02/03/2009;9;1;
104043;120305;8;02/03/2009;9;1;
108741;120305;8;02/03/2009;1;1;
76429;120305;8;07/10/2008;1;1;3
46897;121813;8;01/12/2007;1;1;
59170;121897;8;09/07/2005;1;2;
62475;121897;8;10/10/2005;1;;
113639;122823;8;11/06/2007;6;;
117929;122874;8;29/06/2009;1;1;2
58629;123310;8;06/06/2005;1;2;
89097;123310;8;17/08/2006;1;;
98046;123310;8;18/12/2006;1;;
187340;123310;8;23/11/2010;1;1;6
199415;123310;8;13/01/2011;7;2;
199504;123310;8;13/01/2011;9;1;
179233;123310;8;28/09/2010;1;2;3
125861;123674;8;28/08/2009;1;2;3
116521;124783;8;15/06/2009;1;1;
156801;125522;8;14/04/2010;1;2;5
151062;125522;8;26/02/2010;1;2;4
112434;126070;8;02/05/2009;1;3;3
192405;126070;8;20/12/2010;1;1;2
172594;126070;8;17/08/2010;1;2;6
50571;126156;8;12/02/2008;1;2;4
50247;126156;8;08/02/2008;1;2;4
50500;126156;8;11/02/2008;1;3;3
49073;126156;8;29/01/2008;1;1;
105743;126217;8;02/03/2009;9;1;
105140;126371;8;02/03/2009;9;1;
144099;126371;8;07/01/2010;1;2;3
74588;126990;8;20/09/2008;1;1;6
107729;129049;8;02/03/2009;9;1;
107753;129200;8;02/03/2009;9;1;
44819;129200;8;02/01/2008;1;2;3
55459;130773;8;29/03/2008;1;1;3
107674;131240;8;02/03/2009;9;1;
111315;132770;8;22/04/2009;1;2;3
112173;136172;8;30/04/2009;1;1;3
118333;136172;8;02/07/2009;1;1;3
118049;136172;8;30/06/2009;1;1;3
189152;136172;8;03/12/2010;3;2;6
135913;136172;8;13/11/2009;1;1;4
137425;136172;8;21/11/2009;7;3;
169798;136577;8;28/07/2010;1;2;3
137842;136577;8;26/11/2009;1;1;1
88129;136577;8;06/01/2009;1;2;2
158811;137994;8;30/04/2010;1;1;4
104255;137994;8;02/03/2009;9;1;
154798;137994;8;26/03/2010;1;2;3
103504;138905;8;02/03/2009;9;1;
157322;139859;8;19/04/2010;1;1;3
93084;141231;;30/09/2006;7;;
100438;141231;6;13/01/2007;1;;
187781;141231;6;25/11/2010;1;3;6
187783;141231;6;23/11/2010;1;3;6
187782;141231;6;24/11/2010;1;3;6
86204;141523;2;27/12/2008;1;1;
131079;141523;2;03/10/2009;1;3;6
140980;141523;2;18/12/2009;1;1;2
104222;141979;8;02/03/2009;9;1;
38338;143719;8;03/10/2007;9;1;
114966;145934;8;29/05/2009;1;2;3
174610;145934;8;30/08/2010;1;2;2
143652;145934;8;05/01/2010;1;2;3
98350;146680;8;14/03/2009;1;3;4
109050;146680;8;28/03/2009;1;1;3
160389;146680;8;08/05/2010;6;3;
71343;146704;8;26/08/2008;1;2;3
120549;150984;8;27/08/2007;1;;
93186;150984;8;14/01/2009;9;1;
93184;150984;8;12/01/2009;9;1;
93187;150984;8;15/01/2009;9;1;
93190;150984;8;19/01/2009;9;1;
93189;150984;8;17/01/2009;9;1;
93185;150984;8;13/01/2009;9;1;
93188;150984;8;16/01/2009;9;1;
129955;151034;7;28/09/2009;2;3;3
83949;151034;7;29/11/2008;1;1;3
143976;151034;7;02/01/2010;1;1;3
143975;151034;7;06/01/2010;1;1;3
158241;152547;8;17/04/2010;1;1;3
158242;152547;8;24/04/2010;1;1;3
158239;152547;8;10/04/2010;1;1;3
98245;153239;8;16/12/2006;1;;
92906;153239;8;31/01/2009;7;3;
171652;153347;8;07/08/2010;1;3;3
112346;155444;8;19/05/2007;1;;
96026;156467;8;14/11/2006;1;;
96962;156467;8;29/11/2006;1;;
103172;156467;8;13/02/2007;1;;
122842;156467;8;04/08/2009;1;2;6
103223;158536;8;13/02/2007;1;;
104143;158789;8;02/03/2009;9;1;
60224;158789;8;19/05/2008;1;1;3
96062;166792;8;02/03/2009;1;1;4
134949;168967;8;05/11/2009;1;1;4
135403;168967;8;09/11/2009;1;1;3
63092;169663;4;11/06/2008;1;1;
63093;169663;4;12/06/2008;2;3;
110766;169663;;11/04/2009;1;1;
110767;169663;;15/04/2009;1;1;
110769;169663;;16/04/2009;9;3;
111341;169663;;22/04/2009;1;2;
59318;180225;8;03/05/2008;1;1;
78447;182806;8;23/03/2006;1;;
47067;185225;8;01/12/2007;1;1;
102485;189721;8;05/02/2007;1;;
102551;189721;8;06/02/2007;1;;
114061;189721;8;19/05/2009;1;1;5
122359;189721;8;30/07/2009;1;1;3
120854;189721;8;17/07/2009;1;2;2
97447;189736;8;02/12/2006;1;;
158817;190317;8;30/04/2010;1;1;4
166250;190317;8;26/06/2010;1;3;
113033;194809;;11/05/2009;1;2;
124553;194809;;19/08/2009;1;2;
124397;194809;;18/08/2009;1;2;3
124395;194809;;14/08/2009;1;1;3
124396;194809;;17/08/2009;1;1;3
124554;194809;;19/08/2009;1;1;
113105;195120;8;09/05/2009;1;1;3
113104;195120;8;02/05/2009;1;1;3
96019;195120;8;02/03/2009;1;1;4
127160;195120;8;07/09/2009;1;1;3
127161;195120;8;05/09/2009;1;1;3
58563;196035;8;27/05/2005;1;2;
58565;196035;8;27/05/2005;1;2;
113177;196035;8;09/05/2009;1;3;3
194541;196035;8;24/12/2010;1;1;2
146860;196035;8;28/01/2010;9;2;4
175025;196035;8;28/08/2010;1;3;3
192456;200518;3;20/12/2010;1;1;
193529;200518;3;21/12/2010;1;1;
178682;200518;3;22/09/2010;1;1;
178556;200518;3;22/09/2010;1;2;
144093;200518;3;07/01/2010;1;2;5
194850;200518;;24/12/2010;1;1;
62386;201325;8;05/10/2005;1;;
85269;201325;8;24/06/2006;1;;
86090;201325;8;01/07/2006;1;;
115588;201325;8;29/06/2007;1;;
116374;201325;8;13/06/2009;1;2;3
183616;201325;8;27/10/2010;1;1;
184064;201325;8;29/10/2010;1;2;
147888;201325;8;03/02/2010;1;1;3
77383;201325;8;14/10/2008;1;1;
77389;201325;8;16/10/2008;1;3;2
77175;201325;8;14/10/2008;1;2;
77384;201325;8;15/10/2008;1;1;2
70583;201325;8;18/08/2008;1;2;3
118568;204554;;06/07/2009;1;2;
189404;204554;;06/12/2010;1;2;3
43654;204587;8;14/12/2007;1;1;3
94110;204587;8;17/02/2009;1;1;5
94109;204587;8;16/02/2009;1;1;5
94108;204587;8;14/02/2009;1;1;5
94112;204587;8;19/02/2009;1;1;2
94111;204587;8;18/02/2009;1;1;5
106852;209850;8;02/03/2009;9;1;
118434;211228;;03/07/2009;1;2;
104219;215157;8;02/03/2009;9;1;
96540;215157;8;27/02/2009;1;1;3
96541;215157;8;25/02/2009;1;1;3
96451;215157;8;03/03/2009;1;2;4
92880;216602;8;07/02/2009;7;3;3
74884;216656;8;31/01/2006;1;;
93328;216656;8;12/02/2009;1;1;4
118613;216874;8;06/07/2009;1;2;3
62035;217062;8;03/06/2008;1;2;3
58119;223043;8;09/05/2005;1;2;
103934;223043;8;02/03/2009;9;1;
153139;223043;8;06/03/2010;1;3;3
88518;224695;6;03/01/2009;1;1;1
132994;233091;8;21/10/2009;1;2;3
197447;233091;8;03/01/2011;1;2;6
103456;234121;8;02/03/2009;9;1;
115314;235337;8;03/06/2009;1;2;3
115040;235337;8;02/06/2009;1;2;3
95980;235337;8;02/03/2009;1;1;4
42674;237341;8;06/12/2007;1;3;5
172670;237341;8;17/08/2010;1;2;2
184312;238763;8;03/11/2010;1;2;
168274;238763;8;16/07/2010;1;2;3
186597;238763;8;17/11/2010;1;2;
118792;240143;8;06/08/2007;1;;
61893;240143;8;02/06/2008;1;2;5
88581;243154;8;07/01/2009;1;2;3
66901;243362;8;14/07/2008;1;1;4
133702;243362;8;26/10/2009;1;2;
111106;246652;8;20/04/2009;1;1;3
152350;246652;8;05/03/2010;1;1;3
182455;246652;8;18/10/2010;3;1;3
77174;247619;8;14/10/2008;1;1;4
155467;252133;8;27/03/2010;1;3;3
113456;259489;6;07/06/2007;1;;
119244;260247;6;04/07/2009;1;1;3
96691;260902;4;18/11/2006;1;;
107495;261247;8;29/03/2007;1;;
107247;261247;8;26/03/2007;1;;
107165;261247;8;26/03/2007;1;;
120704;261247;8;28/08/2007;1;;
122279;261247;8;30/07/2009;1;2;3
144213;261247;8;08/01/2010;1;2;3
113205;265758;8;09/05/2009;1;3;6
115299;265758;8;03/06/2009;1;2;
119082;265758;8;20/06/2009;1;1;5
119081;265758;8;27/06/2009;1;1;5
119080;265758;8;04/07/2009;1;1;5
88200;265758;8;06/01/2009;1;2;2
157380;268257;6;20/04/2010;1;2;3
99238;268257;6;02/03/2009;9;1;
61835;269666;8;19/09/2005;9;;
61798;269666;8;19/09/2005;1;;
114320;271705;4;16/06/2007;3;;
76798;273071;8;04/10/2008;9;3;
178994;273366;7;27/09/2010;1;2;3
126242;276941;;01/09/2009;1;2;3
126241;276941;;29/08/2009;1;1;3
55237;277998;4;29/03/2008;1;3;3
75950;277998;2;04/10/2008;1;3;
94058;278076;4;14/10/2006;1;;
96581;278076;4;23/11/2006;1;;
98625;278076;4;27/12/2006;9;;
101222;278076;4;23/01/2007;9;;
108377;278076;4;06/04/2007;4;;
120015;278076;4;04/08/2007;1;;
110392;278076;2;10/04/2009;1;2;
97215;278076;2;10/03/2009;1;2;
108750;278076;2;26/03/2009;1;2;
70299;278344;4;20/12/2005;1;;
70496;278344;4;21/12/2005;1;;
70957;278344;4;20/12/2005;5;;
91883;278344;4;20/09/2006;9;;
114788;278344;4;21/06/2007;1;;
123427;278344;4;19/09/2007;1;;
151677;281030;8;27/02/2010;1;2;
111572;281658;2;24/04/2009;1;2;
199251;281658;2;05/01/2011;2;3;3
199257;281658;2;12/01/2011;1;1;3
199249;281658;2;03/01/2011;2;3;3
199252;281658;2;06/01/2011;2;3;3
199254;281658;2;08/01/2011;2;3;3
199256;281658;2;11/01/2011;2;3;3
199255;281658;2;10/01/2011;2;3;3
199250;281658;2;04/01/2011;2;3;
199253;281658;2;07/01/2011;2;3;3
202099;281658;2;01/02/2011;2;2;
202100;281658;2;29/01/2011;1;1;
116106;282163;6;10/06/2009;1;2;3
116108;282163;6;08/06/2009;1;1;3
116107;282163;6;09/06/2009;1;1;3
139818;284707;2;10/12/2009;1;1;3
139820;284707;2;08/12/2009;1;1;3
139819;284707;2;09/12/2009;1;1;3
91612;285977;6;18/09/2006;1;;
94893;285977;6;31/10/2006;1;;
96304;285977;6;20/11/2006;1;;
102760;285977;6;07/02/2007;2;;
122123;285977;6;05/09/2007;1;;
188436;285977;6;27/11/2010;3;3;6
99239;285977;6;02/03/2009;9;1;
108344;286795;6;06/04/2007;1;;
108261;286795;7;05/04/2007;1;;
110950;286795;7;10/05/2007;1;;
88174;287148;8;01/08/2006;1;;
62806;287148;8;07/06/2008;2;3;3
85583;287148;8;22/12/2008;1;2;3
85582;287148;8;20/12/2008;1;1;3
54857;287646;1;31/08/2004;1;;
81377;287646;6;17/11/2008;1;2;6
167044;287734;8;08/07/2010;3;2;3
127975;287928;8;14/09/2009;1;2;3
163338;290501;8;09/06/2010;1;2;4
88287;290501;8;06/01/2009;1;1;2
77989;290839;8;11/03/2006;1;;
77990;290839;8;10/03/2006;1;;
77964;290839;8;16/03/2006;1;;
56796;291765;1;22/01/2005;1;4;
123745;291765;7;24/09/2007;1;;
94877;291765;7;25/02/2009;1;2;3
83715;291765;7;27/11/2008;1;1;6
83714;291765;7;24/11/2008;1;1;6
83713;291765;7;22/11/2008;1;1;6
105574;292007;8;02/03/2009;9;1;
62705;293003;6;13/10/2005;9;;
94811;296777;8;30/10/2006;1;;
112369;296777;8;19/05/2007;1;;
132846;301648;6;20/10/2009;1;2;3
192276;303272;8;20/12/2010;1;1;
120127;307591;6;04/07/2009;1;1;3
101861;339123;2;02/03/2009;9;1;
58635;343367;8;02/05/2008;1;1;4
86830;343367;8;05/01/2009;1;2;2
139209;364092;8;04/12/2009;1;2;2
139494;364092;8;05/12/2009;1;3;2
146876;364092;8;27/01/2010;1;1;1
70833;364092;8;26/07/2008;7;1;
150682;372367;3;24/02/2010;1;1;3
136851;405673;8;20/11/2009;1;2;
93120;408540;8;06/10/2006;1;;
118995;408540;8;08/08/2007;1;;
92146;408540;8;04/02/2009;1;2;3
102990;410112;8;02/03/2009;9;1;
170614;418311;8;03/08/2010;3;2;3
99031;434404;8;02/01/2007;1;;
57605;434404;8;19/04/2008;1;1;3
113042;434404;8;09/05/2009;1;1;4
113041;434404;8;11/05/2009;1;1;4
112815;434404;8;07/05/2009;1;2;4
58244;448750;1;12/05/2005;1;2;
60322;448750;4;16/08/2005;1;;
120900;448750;2;17/07/2009;1;2;
119701;452562;6;04/07/2009;1;1;3
115755;456330;2;08/06/2009;1;2;3
54879;458135;1;03/09/2004;1;;
54891;458135;1;06/09/2004;1;;
92602;458692;5;31/01/2009;1;1;5
92601;458692;5;07/02/2009;1;1;5
87549;459730;8;25/07/2006;1;;
194911;460459;7;24/12/2010;1;1;2
164271;460459;7;12/06/2010;1;3;
91815;460459;7;31/01/2009;1;1;3
53030;462878;1;08/04/2004;1;;
100193;462878;6;02/03/2009;9;1;
183764;463919;8;28/10/2010;1;2;3
90856;463919;8;23/01/2009;1;2;3
87384;465055;6;05/01/2009;1;1;
84923;466728;8;15/12/2008;1;1;5
93695;467461;8;13/10/2006;1;;
107849;467461;8;24/03/2007;1;;
111116;467461;8;11/05/2007;1;;
106458;467461;8;02/03/2009;9;1;
70105;467461;8;14/08/2008;1;1;3
91107;478242;8;26/08/2006;1;;
186427;478242;8;06/11/2010;9;1;
188851;478242;8;20/11/2010;9;1;
171044;478242;8;31/07/2010;1;3;3
86015;478304;8;01/07/2006;1;;
109884;482314;8;06/04/2009;1;1;3
66605;493667;8;26/11/2005;2;;
136018;494173;8;07/11/2009;1;3;2
96210;494173;8;02/03/2009;1;1;4
61471;496557;6;08/09/2005;1;;
120951;497381;8;17/07/2009;1;1;2
41841;497901;8;30/11/2007;1;2;
63208;497901;8;13/06/2008;1;2;5
55131;498890;1;22/09/2004;1;2;
61981;498890;6;23/09/2005;1;;
100366;498890;6;02/03/2009;9;1;
103092;500939;8;02/03/2009;9;1;
74597;501664;8;20/09/2008;1;1;6
102333;505079;2;02/03/2009;9;1;
100520;505285;5;16/01/2007;1;;
101127;505285;4;22/01/2007;1;;
111097;505285;4;05/05/2007;1;;
113848;505285;5;14/06/2007;1;;
123348;505285;5;15/09/2007;7;;
67381;505285;5;12/07/2008;3;3;
63549;505586;6;05/11/2005;7;;
192257;505586;6;20/12/2010;1;2;6
127895;505586;6;14/09/2009;1;2;1
164249;514923;8;16/06/2010;1;2;3
42254;514923;8;04/12/2007;1;2;3
60306;515045;7;17/05/2008;1;1;5
60308;515045;7;03/05/2008;1;1;5
60307;515045;7;10/05/2008;1;1;5
102656;591609;8;02/03/2009;9;1;
121504;592938;4;03/09/2007;1;;
166303;593217;8;29/06/2010;1;3;3
166302;593217;8;28/06/2010;1;1;3
167106;593217;8;02/07/2010;1;1;3
166305;593217;8;01/07/2010;1;1;3
167309;593217;8;03/07/2010;1;3;4
166304;593217;8;30/06/2010;1;1;3
62972;594963;4;07/06/2008;7;3;
64275;594963;4;21/06/2008;1;3;
64637;594963;4;25/06/2008;7;3;
63511;594963;4;14/06/2008;9;2;
73293;594963;;13/09/2008;7;3;
118648;594963;;06/07/2009;1;1;
111759;594963;;25/04/2009;1;2;
183528;594963;;26/10/2010;1;1;
188360;594963;;27/11/2010;1;1;3
190150;594963;;09/12/2010;1;1;4
202072;594963;;31/01/2011;1;1;
192315;595080;7;18/12/2010;1;1;2
192314;595080;7;20/12/2010;1;1;2
